x,y,z
-330.5838895,1365.549488,4000
-342.9928272,1362.889801,4000
-355.3776666,1360.132612,4000
-367.737522,1357.278119,4000
-380.0715091,1354.326525,4000
-392.3787455,1351.278042,4000
-404.6583509,1348.132888,4000
-416.9094468,1344.891288,4000
-429.1311565,1341.553474,4000
-441.3226057,1338.119683,4000
-453.4829222,1334.590163,4000
-465.6112357,1330.965165,4000
-477.7066785,1327.244949,4000
-489.768385,1323.429781,4000
-501.7954922,1319.519934,4000
-513.7871392,1315.515687,4000
-525.742468,1311.417327,4000
-537.6606229,1307.225147,4000
-549.5407509,1302.939448,4000
-561.3820018,1298.560534,4000
-573.1835279,1294.08872,4000
-584.9444846,1289.524326,4000
-596.6640299,1284.867678,4000
-608.341325,1280.11911,4000
-619.9755338,1275.27896,4000
-631.5658236,1270.347575,4000
-643.1113644,1265.325308,4000
-654.6113298,1260.212519,4000
-666.0648963,1255.009572,4000
-677.4712439,1249.71684,4000
-688.8295557,1244.334702,4000
-700.1390186,1238.863543,4000
-711.3988225,1233.303754,4000
-722.6081611,1227.655733,4000
-733.7662318,1221.919883,4000
-744.8722353,1216.096616,4000
-755.9253762,1210.186347,4000
-766.9248628,1204.1895,4000
-777.8699073,1198.106503,4000
-788.7597256,1191.937792,4000
-799.5935377,1185.683808,4000
-810.3705674,1179.344998,4000
-821.0900427,1172.921816,4000
-831.7511955,1166.414721,4000
-842.3532621,1159.824179,4000
-852.8954827,1153.150661,4000
-863.377102,1146.394644,4000
-873.7973689,1139.556613,4000
-884.1555366,1132.637055,4000
-894.4508629,1125.636467,4000
-904.6826098,1118.555348,4000
-914.850044,1111.394206,4000
-924.9524369,1104.153552,4000
-934.9890641,1096.833905,4000
-944.9592064,1089.435789,4000
-954.8621489,1081.959732,4000
-964.6971817,1074.406269,4000
-974.4635997,1066.775941,4000
-984.1607026,1059.069294,4000
-993.7877952,1051.286878,4000
-1003.344187,1043.429251,4000
-1012.829193,1035.496974,4000
-1022.242132,1027.490616,4000
-1031.582331,1019.410749,4000
-1040.849118,1011.257951,4000
-1050.041829,1003.032804,4000
-1059.159805,994.7358986,4000
-1068.202391,986.367827,4000
-1077.168939,977.9291881,4000
-1086.058806,969.4205857,4000
-1094.871353,960.8426284,4000
-1103.605949,952.1959298,4000
-1112.261966,943.4811085,4000
-1120.838783,934.698788,4000
-1129.335785,925.8495965,4000
-1137.752362,916.9341671,4000
-1146.087909,907.9531376,4000
-1154.341829,898.9071504,4000
-1162.513528,889.7968528,4000
-1170.602421,880.6228963,4000
-1178.607925,871.3859375,4000
-1186.529467,862.0866369,4000
-1194.366477,852.72566,4000
-1202.118393,843.3036763,4000
-1209.784657,833.8213599,4000
-1217.36472,824.2793892,4000
-1224.858036,814.6784467,4000
-1232.264066,805.0192194,4000
-1239.58228,795.3023981,4000
-1246.812151,785.5286782,4000
-1253.953159,775.6987587,4000
-1261.004791,765.8133428,4000
-1267.96654,755.8731379,4000
-1274.837906,745.8788549,4000
-1281.618395,735.8312089,4000
-1288.307518,725.7309187,4000
-1294.904796,715.5787069,4000
-1301.409753,705.3752997,4000
